央视频道,#genre#
浙江卫视,http://122.96.52.98:8006/JS_CUCC/ZJWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVw3ZlmcmHLENEZKakfjqTSwOP7fmtYNYadKMB6wfdw%2B1&p=GITV&area=JS_CUCC
东南卫视,http://122.96.52.98:8006/JS_CUCC/DNWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV685n1HfoUfCd54LFEwPhjmh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
四川卫视,http://122.96.52.98:8006/JS_CUCC/G_SICHUAN-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FGElR%2BzxQCU5zI%2BocmLhJLJ9FDzXuGggYWfiL04G1oO&p=GITV&area=JS_CUCC
天津卫视,http://122.96.52.98:8006/JS_CUCC/TJWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BYCE%2B14RvRHcGOkTyx1aGyh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
安徽卫视,http://122.96.52.98:8006/JS_CUCC/AHWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV5K8lGrn9dEQImQizKKYi0Kh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
山东卫视,http://122.96.52.98:8006/JS_CUCC/SDWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzoxD4nAJfMovgiglLl4i%2Fqh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
河北卫视,http://122.96.52.98:8006/JS_CUCC/G_HEBEI-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4OvvgsRtau7P%2BHyuJDm%2Fn%2BBek7%2BBQ9CW5vOGiXZgCD8&p=GITV&area=JS_CUCC
河南卫视,http://122.96.52.98:8006/JS_CUCC/HENAN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BkEs%2FAMSNBWUzvmpKKguSLhCsZiWNVb%2B9ug3Ov%2B5E3U&p=GITV&area=JS_CUCC
深圳卫视,http://122.96.52.98:8006/JS_CUCC/SZWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV1EpCbiX3gS23hxXPodz1z4OP7fmtYNYadKMB6wfdw%2B1&p=GITV&area=JS_CUCC
贵州卫视,http://122.96.52.98:8006/JS_CUCC/G_GUIZHOU.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVwbJ1fs%2FDk7uJeMv8PCnHSiELafl%2FKDop9ykKNt6W6fI&p=GITV&area=JS_CUCC
重庆卫视,http://122.96.52.98:8006/JS_CUCC/G_CHONGQING.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7hf5LmsD%2FAyNes%2FprUVVIjR%2BJIxZi2YynakHt%2BNxEqV&p=GITV&area=JS_CUCC
内蒙古卫视,http://122.96.52.98:8006/JS_CUCC/G_NEIMENGGU.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzDCKJ%2FajYEPs15x2iu%2FW2O7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC
山西卫视,http://122.96.52.98:8006/JS_CUCC/SXWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9LhcyBvTYhd4GjUWOgwVf6h6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
西藏卫视,http://122.96.52.98:8006/JS_CUCC/G_XIZANG.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4zcsOLbF8RMwXSPj6KmZhVknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
辽宁卫视,http://122.96.52.98:8006/JS_CUCC/LNWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2Fc4CRAuHlxOl7ujS0yeRQyh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
黑江卫视,http://122.96.52.98:8006/JS_CUCC/HLJWS-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV2pjq1LJa7vanZ9caUmW9kBy3SBZSWLfpNi3MsqhXagJ&p=GITV&area=JS_CUCC
甘肃卫视,http://122.96.52.98:8006/JS_CUCC/G_GANSU.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV372ARN%2B81rySKgtvrIyVT8P5XS5s%2Ba9itJSw7vVkZCl&p=GITV&area=JS_CUCC
宁夏卫视,http://122.96.52.98:8006/JS_CUCC/G_NINGXIA.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4DusqNcZuvlGiEshZb7zUD67I1TO8aYxU2OOn2O9P1h&p=GITV&area=JS_CUCC
新疆卫视,http://122.96.52.98:8006/JS_CUCC/G_XINJIANG.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV4ubsh3FTU4pbNVkqYIbFK7yvpPW8hxBd0Rtq%2Bwa619R&p=GITV&area=JS_CUCC
康巴卫视,http://122.96.52.98:8006/JS_CUCC/G_KANGBA.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7SwM9elxqfUsPSNiqXGToZknaAaU1ZneM33O4nxNsRy&p=GITV&area=JS_CUCC
广西卫视,http://122.96.52.98:8006/JS_CUCC/GXWS.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9RgDHm1q7xplgc%2BQsNl1aeh6T6Tk%2FxC%2FR7C%2FVai0Y0n&p=GITV&area=JS_CUCC
安多卫视,http://122.96.52.98:8006/JS_CUCC/G_ANDUO.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV8K8fai0rYvGCaSV%2Fq05U4gP5XS5s%2Ba9itJSw7vVkZCl&p=GITV&area=JS_CUCC
延边卫视,http://122.96.52.98:8006/JS_CUCC/G_YANBIAN.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVywCxX4mWCGeMUfZc4QNa3367I1TO8aYxU2OOn2O9P1h&p=GITV&area=JS_CUCC

东方卫视,http://115.207.33.107:9999/udp/233.50.200.146:5140
东方卫视,http://115.207.33.107:9999/udp/233.50.201.68:5140
吉林卫视,http://115.207.33.107:9999/udp/233.50.201.48:5140
青海卫视,http://115.207.33.107:9999/udp/233.50.201.65:5140
陕西卫视,http://115.207.33.107:9999/udp/233.50.201.59:5140
湖北卫视,http://115.207.33.107:9999/udp/233.50.200.147:5140
湖南卫视,http://115.207.33.107:9999/udp/233.50.200.190:5140
湖南卫视,http://115.207.33.107:9999/udp/233.50.201.52:5140
湖南卫视,http://115.207.33.107:9999/udp/233.50.200.190:5140
江西卫视,http://115.207.33.107:9999/udp/233.50.201.145:5140
江西卫视,http://115.207.33.107:9999/udp/233.50.201.53:5140
江苏卫视,http://115.207.33.107:9999/udp/233.50.200.144:5140
江苏卫视,http://115.207.33.107:9999/udp/233.50.201.41:5140
广东卫视,http://115.207.33.107:9999/udp/233.50.201.56:5140
海南卫视,http://115.207.33.107:9999/udp/233.50.201.55:5140
兵团卫视,http://115.207.33.107:9999/udp/233.50.201.72:5140
北京卫视,http://115.207.33.107:9999/udp/233.50.200.179:5140
浙江卫视,http://115.207.33.107:9999/udp/233.50.201.100:5140
浙江卫视,http://115.207.33.107:9999/udp/233.50.200.145:5140
东南卫视,http://115.207.33.107:9999/udp/233.50.201.58:5140
